"Zaman damgası","Çalışmaya gönüllü olarak katılmayı kabul ediyorum.","Yaşınız:","Cinsiyetiniz:","Eğitim Düzeyiniz:","Köpeklerin rengi sarı değilse hepsinde kemik var.","Kedilerin rengi siyahsa her kedide top var.","Köpeklerin rengi sarıysa her köpekte kemik var.","Kedilerin rengi hepsinde top var siyah değilse.","Farelerin rengi gri olmadıkça hepsinde peynir var.","Maymunların rengi turuncu olmadıkça her maymunda muz var.","Maymunların rengi turuncuysa hepsinde muz var.","Ayıların rengi hepsinde bal var siyah olmadıkça.","Tavşanların rengi beyaz olmadıkça hepsinde havuç var.","Maymunların rengi turuncuysa her maymunda muz var.","Maymunların rengi hepsinde muz var turuncuysa.","Farelerin rengi hepsinde peynir var gri olmadıkça.","Maymunların rengi hepsinde muz var turuncu olmadıkça.","Kedilerin rengi siyah değilse her kedide top var.","Köpeklerin rengi sarı olmadıkça hepsinde kemik var.","Tavşanların rengi hepsinde havuç var beyaz değilse.","Ayıların rengi siyah değilse hepsinde bal var.","Farelerin rengi griyse her farede peynir var.","Kedilerin rengi hepsinde top var siyahsa.","Farelerin rengi gri değilse her farede peynir var.","Köpeklerin rengi hepsinde kemik var sarıysa.","Maymunların rengi turuncu olmadıkça hepsinde muz var.","Tavşanların rengi beyaz değilse her tavşanda havuç var.","Ayıların rengi hepsinde bal var siyahsa.","Tavşanların rengi beyazsa hepsinde havuç var.","Kedilerin rengi siyah olmadıkça hepsinde top var.","Kedilerin rengi siyah olmadıkça her kedide top var.","Ayıların rengi hepsinde bal var siyah değilse.","Maymunların rengi turuncu değilse her maymunda muz var.","Tavşanların rengi hepsinde havuç var beyazsa.","Tavşanların rengi beyaz olmadıkça her tavşanda havuç var.","Tavşanların rengi beyaz değilse her tavşanda havuç var.","Kedilerin rengi hepsinde top var siyah olmadıkça.","Köpeklerin rengi sarı olmadıkça her köpekte kemik var.","Köpeklerin rengi sarı değilse her köpekte kemik var.","Tavşanların rengi hepsinde havuç var beyaz olmadıkça.","Köpeklerin rengi sarıysa hepsinde kemik var.","Farelerin rengi gri olmadıkça her farede peynir var.","Kedilerin rengi siyahsa hepsinde top var.","Farelerin rengi gri değilse hepsinde peynir var.","Ayıların rengi siyahsa hepsinde bal var.","Ayıların rengi siyah olmadıkça her ayıda bal var.","Maymunların rengi turuncu değilse hepsinde muz var.","Maymunların rengi hepsinde muz var turuncu değilse.","Tavşanların rengi beyazsa her tavşanda havuç var.","Farelerin rengi hepsinde peynir var griyse.","Ayıların rengi siyah olmadıkça hepsinde bal var.","Ayıların rengi siyahsa her ayıda bal var.","Köpeklerin rengi hepsinde kemik var sarı değilse.","Köpeklerin rengi hepsinde kemik var sarı olmadıkça.","Ayıların rengi siyah değilse her ayıda bal var.","Farelerin rengi hepsinde peynir var gri değilse.","Farelerin rengi griyse hepsinde peynir var.","Kedilerin rengi siyah değilse hepsinde top var."
"2023/01/28 1:22:25 ÖS GMT+3","Evet","21","Erkek","Lisans","3","2","3","1","5","4","6","1","5","5","1","1","1","4","3","1","3","5","1","4","1","3","2","1","5","4","4","1","3","2","3","3","3","3","4","1","4","3","5","4","4","1","4","1","2","1","3","4","1","1","4","1","5","4"
"2023/01/28 1:22:39 ÖS GMT+3","Evet","21","Kadın","Lisans","7","7","7","1","7","7","7","1","7","7","1","1","1","4","7","1","7","7","1","7","1","7","7","1","7","7","7","1","7","1","7","7","1","7","7","1","7","7","7","7","7","7","7","1","7","1","7","7","1","1","7","1","7","7"
"2023/01/28 1:22:59 ÖS GMT+3","Evet","22","Kadın","Lisans","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2023/01/28 1:41:30 ÖS GMT+3","Evet","24","Kadın","Lisans","3","2","3","1","6","7","5","4","6","5","2","2","2","2","2","2","4","3","4","3","2","4","4","3","5","5","2","5","2","5","3","3","3","4","4","3","4","3","4","3","5","3","3","4","4","3","6","5","4","3","4","4","3","5"
"2023/01/28 1:45:36 ÖS GMT+3","Evet","26","Kadın","Yüksek Lisans","2","1","2","1","3","4","3","2","3","2","3","3","3","4","4","3","1","3","4","3","1","3","3","1","4","3","2","1","3","3","2","1","1","3","1","2","2","1","5","4","3","2","2","3","2","1","2","2","3","1","3","2","2","3"
"2023/01/28 1:48:08 ÖS GMT+3","Evet","21","Kadın","Lise","3","3","3","1","3","3","3","1","3","3","1","1","1","3","3","1","3","3","1","3","1","3","3","1","3","3","4","1","4","1","4","4","1","4","4","1","3","4","3","3","3","4","3","1","4","1","4","4","1","1","4","1","4","4"
"2023/01/28 2:11:45 ÖS GMT+3","Evet","24","Erkek","Lisans","1","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","2","3","2","1","2","1","2","2","1","2","2","1","4","2","4","4","7","2","1","2","3","1","2","2","1","1","3","1","3","6"
"2023/01/28 2:17:30 ÖS GMT+3","Evet","23","Kadın","Yüksek Lisans","2","2","1","1","2","2","2","1","2","2","1","1","1","3","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2","1","2","2","1","1","2","1","2","2"
"2023/01/28 2:34:52 ÖS GMT+3","Evet","25","Kadın","Yüksek Lisans","3","1","2","1","2","1","4","1","2","3","1","1","1","3","2","1","2","2","1","2","1","3","3","1","4","2","2","1","2","1","3","3","1","2","2","1","4","3","5","4","4","3","3","1","4","1","2","5","1","1","5","1","5","5"
"2023/01/28 2:43:53 ÖS GMT+3","Evet","23","Kadın","Yüksek Lisans","7","7","7","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","7","4","4","3","7","7","7","7","7","7","7","4","7","7","7","7","7","7","7","4","7","6","5","5","7","4","7","7","7","7"
"2023/01/28 3:03:01 ÖS GMT+3","Evet","21","Kadın","Lisans","7","3","3","1","7","5","6","1","7","6","1","1","1","6","7","2","6","7","1","6","1","7","7","5","6","6","6","1","5","1","7","5","1","5","5","1","7","5","7","7","7","6","7","1","6","1","6","5","1","1","6","1","7","7"
"2023/01/28 3:31:33 ÖS GMT+3","Evet","27","Kadın","Yüksek Lisans","2","2","2","1","5","5","5","1","5","5","1","1","1","5","5","1","4","5","1","5","1","5","5","1","5","5","5","1","5","1","5","5","1","5","5","1","5","5","5","5","5","5","5","1","5","1","5","5","1","1","5","1","5","5"
"2023/01/28 4:34:08 ÖS GMT+3","Evet","26","Kadın","Yüksek Lisans","5","5","7","1","6","6","7","2","5","7","6","3","5","7","6","2","6","7","1","7","2","6","7","5","7","5","6","2","7","4","6","7","1","6","7","2","7","7","7","7","7","6","7","1","7","2","5","7","2","2","7","2","7","6"
"2023/01/28 4:50:46 ÖS GMT+3","Evet","22","Erkek","Lisans","3","3","5","1","3","3","5","1","3","3","1","1","1","5","3","1","5","5","1","4","1","3","5","1","5","2","1","1","5","1","3","5","1","3","5","1","5","2","5","4","5","3","5","4","5","1","3","6","1","1","4","1","5","5"
"2023/01/28 6:31:56 ÖS GMT+3","Evet","27","Kadın","Yüksek Lisans","7","7","7","1","7","7","7","1","6","7","1","1","1","7","7","1","7","7","1","6","1","5","7","1","7","6","5","1","7","4","6","7","1","6","7","1","7","6","7","7","7","6","7","1","7","1","6","7","1","4","7","1","7","7"
"2023/01/28 7:17:12 ÖS GMT+3","Evet","32","Kadın","Yüksek Lisans","5","2","5","1","5","5","6","1","6","4","1","1","1","5","5","1","4","1","1","5","1","3","4","3","3","4","4","1","4","1","3","5","4","3","4","1","3","5","5","6","6","5","6","1","6","1","5","6","1","1","5","1","6","6"
"2023/01/28 7:30:13 ÖS GMT+3","Evet","32","Kadın","Yüksek Lisans","2","6","6","1","2","2","6","1","2","6","1","1","1","6","2","1","6","6","2","5","1","1","2","1","6","3","2","1","6","1","2","6","1","2","2","1","6","2","6","6","6","2","6","1","6","1","2","6","1","1","6","1","6","6"
"2023/01/28 10:31:30 ÖS GMT+3","Evet","22","Kadın","Yüksek Lisans","2","5","4","1","7","7","5","1","1","4","4","2","4","1","6","3","7","1","4","3","3","3","4","2","7","6","5","6","6","7","7","1","4","5","6","3","5","3","2","5","7","7","3","5","4","5","6","4","4","1","7","6","7","1"
"2023/01/29 9:50:07 ÖÖ GMT+3","Evet","47","Erkek","Yüksek Lisans","2","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2","1","2","2","1","1","2","1","2","2"
"2023/01/29 10:31:37 ÖÖ GMT+3","Evet","38","Kadın","Yüksek Lisans","2","2","2","1","6","2","2","1","6","2","1","1","1","2","6","1","6","2","1","2","1","6","2","1","2","6","2","1","2","1","6","2","1","6","2","1","2","6","2","2","1","6","2","1","2","1","6","2","1","1","2","1","2","2"
